Province,Year,Investment Value,Category
Nunavut,2023,41.3,Transportation and warehousing
Nunavut,2024,x,Transportation and warehousing
Nunavut,2025,23.6,Transportation and warehousing
Nunavut,2026,x,Transportation and warehousing
Ontario,2022,13051.1,Transportation and warehousing
Ontario,2023,16302.799999999999,Transportation and warehousing
Ontario,2024,19977.200000000001,Transportation and warehousing
Ontario,2025,21351.400000000001,Transportation and warehousing
Ontario,2026,25571,Transportation and warehousing
Prince Edward Island,2022,43.1,Transportation and warehousing
Prince Edward Island,2023,43.5,Transportation and warehousing
Prince Edward Island,2024,x,Transportation and warehousing
Prince Edward Island,2025,50.8,Transportation and warehousing
Prince Edward Island,2026,x,Transportation and warehousing
Quebec,2022,"6,202.20",Transportation and warehousing
Quebec,2023,5641,Transportation and warehousing
Quebec,2024,6884.3999999999996,Transportation and warehousing
Quebec,2025,6490.6000000000004,Transportation and warehousing
Quebec,2026,7086.1999999999998,Transportation and warehousing
Saskatchewan,2022,900.9,Transportation and warehousing
Saskatchewan,2023,932.3,Transportation and warehousing
Saskatchewan,2024,"1,000.00",Transportation and warehousing
Saskatchewan,2025,1200.5999999999999,Transportation and warehousing
Saskatchewan,2026,980.10000000000002,Transportation and warehousing
Yukon,2022,x,Transportation and warehousing
Yukon,2023,40.1,Transportation and warehousing
Yukon,2024,x,Transportation and warehousing
Yukon,2025,46.9,Transportation and warehousing
Yukon,2026,x,Transportation and warehousing
Alberta,2022,"1,297.00",Information and cultural industries
Alberta,2023,x,Information and cultural industries
Alberta,2024,811.10000000000002,Information and cultural industries
Alberta,2025,"1,347.70",Information and cultural industries
Alberta,2026,1161.8,Information and cultural industries
British Columbia,2022,1683.4000000000001,Information and cultural industries
British Columbia,2023,"1,546.30",Information and cultural industries
British Columbia,2024,1359.4000000000001,Information and cultural industries
British Columbia,2025,1682.7,Information and cultural industries
British Columbia,2026,1399.2,Information and cultural industries
Manitoba,2022,485.5,Information and cultural industries
Manitoba,2023,x,Information and cultural industries
Manitoba,2024,388.7,Information and cultural industries
Manitoba,2025,402.39999999999998,Information and cultural industries
Manitoba,2026,370.60000000000002,Information and cultural industries
New Brunswick,2022,504.3,Information and cultural industries
New Brunswick,2023,x,Information and cultural industries
New Brunswick,2024,490.2,Information and cultural industries
New Brunswick,2025,464.69999999999999,Information and cultural industries
New Brunswick,2026,446,Information and cultural industries
Newfoundland and Labrador,2022,176.5,Information and cultural industries
Newfoundland and Labrador,2023,x,Information and cultural industries
Newfoundland and Labrador,2024,143,Information and cultural industries
Newfoundland and Labrador,2025,139.7,Information and cultural industries
Newfoundland and Labrador,2026,126.7,Information and cultural industries
Northwest Territories,2022,18.3,Information and cultural industries
Northwest Territories,2023,x,Information and cultural industries
Northwest Territories,2024,x,Information and cultural industries
Northwest Territories,2025,21.6,Information and cultural industries
Northwest Territories,2026,x,Information and cultural industries
Nova Scotia,2022,349.2,Information and cultural industries
Nova Scotia,2023,x,Information and cultural industries
Nova Scotia,2024,276.3,Information and cultural industries
Nova Scotia,2025,275.1,Information and cultural industries
Nova Scotia,2026,238.5,Information and cultural industries
Nunavut,2022,1.1,Information and cultural industries
Nunavut,2023,x,Information and cultural industries
Nunavut,2024,x,Information and cultural industries
Nunavut,2025,9.9,Information and cultural industries
Nunavut,2026,x,Information and cultural industries
Ontario,2022,7417.3999999999996,Information and cultural industries
Ontario,2023,7287.8000000000002,Information and cultural industries
Ontario,2024,6439.3000000000002,Information and cultural industries
Ontario,2025,7106,Information and cultural industries
Ontario,2026,6946.3999999999996,Information and cultural industries
Prince Edward Island,2022,60.6,Information and cultural industries
Prince Edward Island,2023,x,Information and cultural industries
Prince Edward Island,2024,x,Information and cultural industries
Prince Edward Island,2025,27.5,Information and cultural industries
Prince Edward Island,2026,25.8,Information and cultural industries
Quebec,2022,"2,836.20",Information and cultural industries
Quebec,2023,2621.6999999999998,Information and cultural industries
Quebec,2024,2756.3000000000002,Information and cultural industries
Quebec,2025,3486.6999999999998,Information and cultural industries
Quebec,2026,3444.0999999999999,Information and cultural industries
Saskatchewan,2022,406.3,Information and cultural industries
Saskatchewan,2023,x,Information and cultural industries
Saskatchewan,2024,468.4,Information and cultural industries
Saskatchewan,2025,563.60000000000002,Information and cultural industries
Saskatchewan,2026,506,Information and cultural industries
Yukon,2022,25.1,Information and cultural industries
Yukon,2023,x,Information and cultural industries
Yukon,2024,x,Information and cultural industries
Yukon,2025,15.5,Information and cultural industries
Yukon,2026,x,Information and cultural industries
Alberta,2022,212.3,Finance and insurance
Alberta,2023,259.1,Finance and insurance
Alberta,2024,241,Finance and insurance
Alberta,2025,233.9,Finance and insurance
Alberta,2026,238.19999999999999,Finance and insurance
British Columbia,2022,344.89999999999998,Finance and insurance
British Columbia,2023,310.3,Finance and insurance
British Columbia,2024,239.59999999999999,Finance and insurance
British Columbia,2025,232.80000000000001,Finance and insurance
British Columbia,2026,279.19999999999999,Finance and insurance
Manitoba,2022,46.5,Finance and insurance
Manitoba,2023,73.5,Finance and insurance
Manitoba,2024,53.2,Finance and insurance
Manitoba,2025,77.5,Finance and insurance
Manitoba,2026,72.099999999999994,Finance and insurance
New Brunswick,2022,15.5,Finance and insurance
New Brunswick,2023,x,Finance and insurance
New Brunswick,2024,x,Finance and insurance
New Brunswick,2025,22.699999999999999,Finance and insurance
New Brunswick,2026,27.5,Finance and insurance
Newfoundland and Labrador,2022,9.6,Finance and insurance
Newfoundland and Labrador,2023,x,Finance and insurance
Newfoundland and Labrador,2024,x,Finance and insurance
Newfoundland and Labrador,2025,x,Finance and insurance
Newfoundland and Labrador,2026,x,Finance and insurance
Northwest Territories,2022,x,Finance and insurance
Northwest Territories,2023,x,Finance and insurance
Northwest Territories,2024,x,Finance and insurance
Northwest Territories,2025,x,Finance and insurance
Northwest Territories,2026,x,Finance and insurance
Nova Scotia,2022,x,Finance and insurance
Nova Scotia,2023,x,Finance and insurance
Nova Scotia,2024,35.9,Finance and insurance
Nova Scotia,2025,x,Finance and insurance
Nova Scotia,2026,62.299999999999997,Finance and insurance
Nunavut,2022,x,Finance and insurance
Nunavut,2023,x,Finance and insurance
Nunavut,2024,x,Finance and insurance
Nunavut,2025,x,Finance and insurance
Nunavut,2026,x,Finance and insurance
Ontario,2022,1560.5,Finance and insurance
Ontario,2023,1844.8,Finance and insurance
Ontario,2024,1585.7,Finance and insurance
Ontario,2025,1648.3,Finance and insurance
Ontario,2026,1655.5999999999999,Finance and insurance
Prince Edward Island,2022,x,Finance and insurance
Prince Edward Island,2023,x,Finance and insurance
Prince Edward Island,2024,x,Finance and insurance
Prince Edward Island,2025,x,Finance and insurance
Prince Edward Island,2026,7.6,Finance and insurance
Quebec,2022,F,Finance and insurance
Quebec,2023,263.69999999999999,Finance and insurance
Quebec,2024,297.19999999999999,Finance and insurance
Quebec,2025,306.69999999999999,Finance and insurance
Quebec,2026,329.69999999999999,Finance and insurance
Saskatchewan,2022,52.1,Finance and insurance
Saskatchewan,2023,x,Finance and insurance
Saskatchewan,2024,x,Finance and insurance
Saskatchewan,2025,87.900000000000006,Finance and insurance
Saskatchewan,2026,73.5,Finance and insurance
Yukon,2022,x,Finance and insurance
Yukon,2023,x,Finance and insurance
Yukon,2024,x,Finance and insurance
Yukon,2025,x,Finance and insurance
Yukon,2026,x,Finance and insurance
Alberta,2022,"3,051.30",Real estate and rental and leasing
Alberta,2023,"2,765.00",Real estate and rental and leasing
Alberta,2024,3394.1999999999998,Real estate and rental and leasing
Alberta,2025,"3,214.80",Real estate and rental and leasing
Alberta,2026,2967,Real estate and rental and leasing
British Columbia,2022,2011.2,Real estate and rental and leasing
British Columbia,2023,"1,888.10",Real estate and rental and leasing
British Columbia,2024,2204,Real estate and rental and leasing
British Columbia,2025,1913.8,Real estate and rental and leasing
British Columbia,2026,1976.7,Real estate and rental and leasing
Manitoba,2022,529.20000000000005,Real estate and rental and leasing
Manitoba,2023,474.4,Real estate and rental and leasing
Manitoba,2024,F,Real estate and rental and leasing
Manitoba,2025,330.80000000000001,Real estate and rental and leasing
Manitoba,2026,325.80000000000001,Real estate and rental and leasing
New Brunswick,2022,230.9,Real estate and rental and leasing
New Brunswick,2023,219.4,Real estate and rental and leasing
New Brunswick,2024,209.5,Real estate and rental and leasing
New Brunswick,2025,241.40000000000001,Real estate and rental and leasing
New Brunswick,2026,239.80000000000001,Real estate and rental and leasing
Newfoundland and Labrador,2022,x,Real estate and rental and leasing
Newfoundland and Labrador,2023,114.7,Real estate and rental and leasing
Newfoundland and Labrador,2024,87.2,Real estate and rental and leasing
Newfoundland and Labrador,2025,90.1,Real estate and rental and leasing
Newfoundland and Labrador,2026,96.8,Real estate and rental and leasing
Northwest Territories,2022,x,Real estate and rental and leasing
Northwest Territories,2023,F,Real estate and rental and leasing
Northwest Territories,2024,23.5,Real estate and rental and leasing
Northwest Territories,2025,17.1,Real estate and rental and leasing
Northwest Territories,2026,17.9,Real estate and rental and leasing
Nova Scotia,2022,229.5,Real estate and rental and leasing
Nova Scotia,2023,284.6,Real estate and rental and leasing
Nova Scotia,2024,318.7,Real estate and rental and leasing
Nova Scotia,2025,326.8,Real estate and rental and leasing
Nova Scotia,2026,353.10000000000002,Real estate and rental and leasing
Nunavut,2022,x,Real estate and rental and leasing
Nunavut,2023,5.6,Real estate and rental and leasing
Nunavut,2024,4.3,Real estate and rental and leasing
Nunavut,2025,11.9,Real estate and rental and leasing
Nunavut,2026,15.3,Real estate and rental and leasing
Ontario,2022,7262.6000000000004,Real estate and rental and leasing
Ontario,2023,7993.3000000000002,Real estate and rental and leasing
Ontario,2024,8089.5,Real estate and rental and leasing
Ontario,2025,6990.6999999999998,Real estate and rental and leasing
Ontario,2026,6284.8000000000002,Real estate and rental and leasing
Prince Edward Island,2022,x,Real estate and rental and leasing
Prince Edward Island,2023,25.4,Real estate and rental and leasing
Prince Edward Island,2024,21.6,Real estate and rental and leasing
Prince Edward Island,2025,72.3,Real estate and rental and leasing
Prince Edward Island,2026,45.7,Real estate and rental and leasing
Quebec,2022,"3,730.70",Real estate and rental and leasing
Quebec,2023,3863.5999999999999,Real estate and rental and leasing
Quebec,2024,3616.4000000000001,Real estate and rental and leasing
Quebec,2025,3293.8000000000002,Real estate and rental and leasing
Quebec,2026,2831.5,Real estate and rental and leasing
Saskatchewan,2022,390.3,Real estate and rental and leasing
Saskatchewan,2023,453.1,Real estate and rental and leasing
Saskatchewan,2024,384.3,Real estate and rental and leasing
Saskatchewan,2025,396.19999999999999,Real estate and rental and leasing
Saskatchewan,2026,369.10000000000002,Real estate and rental and leasing
Yukon,2022,19.4,Real estate and rental and leasing
Yukon,2023,18,Real estate and rental and leasing
Yukon,2024,37.8,Real estate and rental and leasing
Yukon,2025,28.8,Real estate and rental and leasing
Yukon,2026,33.5,Real estate and rental and leasing
Alberta,2022,521.3,"Professional, scientific and technical services"
Alberta,2023,577.7,"Professional, scientific and technical services"
Alberta,2024,598.39999999999998,"Professional, scientific and technical services"
Alberta,2025,402.4,"Professional, scientific and technical services"
Alberta,2026,311.30000000000001,"Professional, scientific and technical services"
British Columbia,2022,737.89999999999998,"Professional, scientific and technical services"
British Columbia,2023,"1,067.70","Professional, scientific and technical services"
British Columbia,2024,769.70000000000005,"Professional, scientific and technical services"
British Columbia,2025,773.60000000000002,"Professional, scientific and technical services"
British Columbia,2026,610.29999999999995,"Professional, scientific and technical services"
Manitoba,2022,54.899999999999999,"Professional, scientific and technical services"
Manitoba,2023,x,"Professional, scientific and technical services"
Manitoba,2024,x,"Professional, scientific and technical services"
Manitoba,2025,61.799999999999997,"Professional, scientific and technical services"
Manitoba,2026,42.899999999999999,"Professional, scientific and technical services"
New Brunswick,2022,48.1,"Professional, scientific and technical services"
New Brunswick,2023,33.2,"Professional, scientific and technical services"
New Brunswick,2024,45.5,"Professional, scientific and technical services"
New Brunswick,2025,29.699999999999999,"Professional, scientific and technical services"
New Brunswick,2026,24.100000000000001,"Professional, scientific and technical services"
Newfoundland and Labrador,2022,20.1,"Professional, scientific and technical services"
Newfoundland and Labrador,2023,39.7,"Professional, scientific and technical services"
Newfoundland and Labrador,2024,x,"Professional, scientific and technical services"
Newfoundland and Labrador,2025,17.3,"Professional, scientific and technical services"
Newfoundland and Labrador,2026,50.1,"Professional, scientific and technical services"
Northwest Territories,2022,2.3,"Professional, scientific and technical services"
Northwest Territories,2023,4.6,"Professional, scientific and technical services"
Northwest Territories,2024,x,"Professional, scientific and technical services"
Northwest Territories,2025,x,"Professional, scientific and technical services"
Northwest Territories,2026,2,"Professional, scientific and technical services"
Nova Scotia,2022,41.4,"Professional, scientific and technical services"
Nova Scotia,2023,63,"Professional, scientific and technical services"
Nova Scotia,2024,x,"Professional, scientific and technical services"
Nova Scotia,2025,61.3,"Professional, scientific and technical services"
Nova Scotia,2026,51.600000000000001,"Professional, scientific and technical services"
Nunavut,2022,0.9,"Professional, scientific and technical services"
Nunavut,2023,x,"Professional, scientific and technical services"
Nunavut,2024,x,"Professional, scientific and technical services"
Nunavut,2025,x,"Professional, scientific and technical services"
Nunavut,2026,1.7,"Professional, scientific and technical services"
Ontario,2022,1255.7,"Professional, scientific and technical services"
Ontario,2023,1646.9000000000001,"Professional, scientific and technical services"
Ontario,2024,1463.4000000000001,"Professional, scientific and technical services"
Ontario,2025,1219.4000000000001,"Professional, scientific and technical services"
Ontario,2026,1084.8,"Professional, scientific and technical services"
Prince Edward Island,2022,4.9,"Professional, scientific and technical services"
Prince Edward Island,2023,x,"Professional, scientific and technical services"
Prince Edward Island,2024,x,"Professional, scientific and technical services"
Prince Edward Island,2025,x,"Professional, scientific and technical services"
Prince Edward Island,2026,4.2,"Professional, scientific and technical services"
Quebec,2022,907.7,"Professional, scientific and technical services"
Quebec,2023,934.70000000000005,"Professional, scientific and technical services"
Quebec,2024,793.89999999999998,"Professional, scientific and technical services"
Quebec,2025,722.70000000000005,"Professional, scientific and technical services"
Quebec,2026,686.20000000000005,"Professional, scientific and technical services"
Saskatchewan,2022,62.4,"Professional, scientific and technical services"
Saskatchewan,2023,F,"Professional, scientific and technical services"
Saskatchewan,2024,126.5,"Professional, scientific and technical services"
Saskatchewan,2025,140.80000000000001,"Professional, scientific and technical services"
Saskatchewan,2026,88.299999999999997,"Professional, scientific and technical services"
Yukon,2022,F,"Professional, scientific and technical services"
Yukon,2023,x,"Professional, scientific and technical services"
Yukon,2024,3.4,"Professional, scientific and technical services"
Yukon,2025,x,"Professional, scientific and technical services"
Yukon,2026,2.6,"Professional, scientific and technical services"
Alberta,2022,165.5,Management of companies and enterprises
Alberta,2023,x,Management of companies and enterprises
Alberta,2024,253.19999999999999,Management of companies and enterprises
Alberta,2025,x,Management of companies and enterprises
Alberta,2026,187.09999999999999,Management of companies and enterprises
British Columbia,2022,61.899999999999999,Management of companies and enterprises
British Columbia,2023,x,Management of companies and enterprises
British Columbia,2024,,Management of companies and enterprises
British Columbia,2025,64.799999999999997,Management of companies and enterprises
British Columbia,2026,57.399999999999999,Management of companies and enterprises
Manitoba,2022,5.5999999999999996,Management of companies and enterprises
Manitoba,2023,53.4,Management of companies and enterprises
Manitoba,2024,x,Management of companies and enterprises
Manitoba,2025,59.399999999999999,Management of companies and enterprises
Manitoba,2026,40.700000000000003,Management of companies and enterprises
New Brunswick,2022,6.6,Management of companies and enterprises
New Brunswick,2023,47.7,Management of companies and enterprises
New Brunswick,2024,x,Management of companies and enterprises
New Brunswick,2025,13.4,Management of companies and enterprises
New Brunswick,2026,4.9000000000000004,Management of companies and enterprises
Newfoundland and Labrador,2022,x,Management of companies and enterprises
Newfoundland and Labrador,2023,F,Management of companies and enterprises
Newfoundland and Labrador,2024,x,Management of companies and enterprises
Newfoundland and Labrador,2025,0.3,Management of companies and enterprises
Newfoundland and Labrador,2026,0.3,Management of companies and enterprises
Northwest Territories,2022,x,Management of companies and enterprises
Northwest Territories,2023,x,Management of companies and enterprises
Northwest Territories,2024,x,Management of companies and enterprises
Northwest Territories,2025,x,Management of companies and enterprises
Northwest Territories,2026,0.4,Management of companies and enterprises
Nova Scotia,2022,x,Management of companies and enterprises
Nova Scotia,2023,x,Management of companies and enterprises
Nova Scotia,2024,x,Management of companies and enterprises
Nova Scotia,2025,x,Management of companies and enterprises
Nova Scotia,2026,14.1,Management of companies and enterprises
Nunavut,2022,x,Management of companies and enterprises
Nunavut,2023,x,Management of companies and enterprises
Nunavut,2024,0,Management of companies and enterprises
Nunavut,2025,0,Management of companies and enterprises
Nunavut,2026,0,Management of companies and enterprises
Ontario,2022,483.89999999999998,Management of companies and enterprises
Ontario,2023,812.39999999999998,Management of companies and enterprises
Ontario,2024,568.20000000000005,Management of companies and enterprises
Ontario,2025,598.79999999999995,Management of companies and enterprises
Ontario,2026,525.79999999999995,Management of companies and enterprises
Prince Edward Island,2022,x,Management of companies and enterprises
Prince Edward Island,2023,x,Management of companies and enterprises
Prince Edward Island,2024,x,Management of companies and enterprises
Prince Edward Island,2025,x,Management of companies and enterprises
Prince Edward Island,2026,0.5,Management of companies and enterprises
Quebec,2022,163.4,Management of companies and enterprises
Quebec,2023,205,Management of companies and enterprises
Quebec,2024,141.09999999999999,Management of companies and enterprises
Quebec,2025,316.30000000000001,Management of companies and enterprises
Quebec,2026,273.80000000000001,Management of companies and enterprises
Saskatchewan,2022,141,Management of companies and enterprises
Saskatchewan,2023,134.2,Management of companies and enterprises
Saskatchewan,2024,115.5,Management of companies and enterprises
Saskatchewan,2025,130.09999999999999,Management of companies and enterprises
Saskatchewan,2026,94.599999999999994,Management of companies and enterprises
Yukon,2022,0,Management of companies and enterprises
Yukon,2023,0,Management of companies and enterprises
Yukon,2024,0,Management of companies and enterprises
Yukon,2025,x,Management of companies and enterprises
Yukon,2026,0,Management of companies and enterprises
Alberta,2022,422.9,"Administrative and support, waste management and remediation services"
Alberta,2023,437.7,"Administrative and support, waste management and remediation services"
Alberta,2024,559.39999999999998,"Administrative and support, waste management and remediation services"
Alberta,2025,828.1,"Administrative and support, waste management and remediation services"
Alberta,2026,553.70000000000005,"Administrative and support, waste management and remediation services"
British Columbia,2022,,"Administrative and support, waste management and remediation services"
British Columbia,2023,342.1,"Administrative and support, waste management and remediation services"
British Columbia,2024,380.60000000000002,"Administrative and support, waste management and remediation services"
British Columbia,2025,412.69999999999999,"Administrative and support, waste management and remediation services"
British Columbia,2026,435.19999999999999,"Administrative and support, waste management and remediation services"
Manitoba,2022,41.100000000000001,"Administrative and support, waste management and remediation services"
Manitoba,2023,68.9,"Administrative and support, waste management and remediation services"
Manitoba,2024,64.6,"Administrative and support, waste management and remediation services"
Manitoba,2025,68.200000000000003,"Administrative and support, waste management and remediation services"
Manitoba,2026,75,"Administrative and support, waste management and remediation services"
Alberta,2022,634.8,Accommodation and food services
Alberta,2022,605.1,"Arts, entertainment and recreation"
Alberta,2022,"1,327.20",Educational services
Alberta,2022,"1,415.60",Health care and social assistance
Alberta,2022,F,Other services (except public administration)
Alberta,2022,"4,374.50",Public administration
British Columbia,2022,518.60000000000002,Accommodation and food services
British Columbia,2022,530.79999999999995,"Arts, entertainment and recreation"
British Columbia,2022,1825.0999999999999,Educational services
British Columbia,2022,2470,Health care and social assistance
British Columbia,2022,292,Other services (except public administration)
British Columbia,2022,5373.6000000000004,Public administration
Manitoba,2022,77.599999999999994,Accommodation and food services
Manitoba,2022,146.90000000000001,"Arts, entertainment and recreation"
Manitoba,2022,271.80000000000001,Educational services
Manitoba,2022,502.60000000000002,Health care and social assistance
Manitoba,2022,38.799999999999997,Other services (except public administration)
Manitoba,2022,1079.3,Public administration
New Brunswick,2022,38.1,Accommodation and food services
New Brunswick,2022,F,"Administrative and support, waste management and remediation services"
New Brunswick,2022,38.9,"Arts, entertainment and recreation"
New Brunswick,2022,124.1,Educational services
New Brunswick,2022,169.5,Health care and social assistance
New Brunswick,2022,F,Other services (except public administration)
New Brunswick,2022,979.9,Public administration
Newfoundland and Labrador,2022,x,Accommodation and food services
Newfoundland and Labrador,2022,12.1,"Administrative and support, waste management and remediation services"
Newfoundland and Labrador,2022,45.1,"Arts, entertainment and recreation"
Newfoundland and Labrador,2022,64.9,Educational services
Newfoundland and Labrador,2022,432.8,Health care and social assistance
Newfoundland and Labrador,2022,15.5,Other services (except public administration)
Newfoundland and Labrador,2022,443,Public administration
Northwest Territories,2022,F,Accommodation and food services
Northwest Territories,2022,x,"Administrative and support, waste management and remediation services"
Northwest Territories,2022,x,"Arts, entertainment and recreation"
Northwest Territories,2022,x,Educational services
Northwest Territories,2022,35.4,Health care and social assistance
Northwest Territories,2022,F,Other services (except public administration)
Northwest Territories,2022,370.6,Public administration
Nova Scotia,2022,62.7,Accommodation and food services
Nova Scotia,2022,162.5,"Administrative and support, waste management and remediation services"
Nova Scotia,2022,x,"Arts, entertainment and recreation"
Nova Scotia,2022,310.6,Educational services
Nova Scotia,2022,315.4,Health care and social assistance
Nova Scotia,2022,30.5,Other services (except public administration)
Nova Scotia,2022,"1,334.20",Public administration
Nunavut,2022,4.9,Accommodation and food services
Nunavut,2022,x,"Administrative and support, waste management and remediation services"
Nunavut,2022,x,"Arts, entertainment and recreation"
Nunavut,2022,x,Educational services
Nunavut,2022,x,Health care and social assistance
Nunavut,2022,0.6,Other services (except public administration)
Nunavut,2022,127.3,Public administration
Ontario,2022,1533,Accommodation and food services
Ontario,2022,616.79999999999995,"Administrative and support, waste management and remediation services"
Ontario,2022,1185,"Arts, entertainment and recreation"
Ontario,2022,4141.8999999999996,Educational services
Ontario,2022,4072.3000000000002,Health care and social assistance
Ontario,2022,379.89999999999998,Other services (except public administration)
Ontario,2022,11456.799999999999,Public administration
Prince Edward Island,2022,22.3,Accommodation and food services
Prince Edward Island,2022,x,"Administrative and support, waste management and remediation services"
Prince Edward Island,2022,29.1,"Arts, entertainment and recreation"
Prince Edward Island,2022,100,Educational services
Prince Edward Island,2022,34,Health care and social assistance
Prince Edward Island,2022,12.8,Other services (except public administration)
Prince Edward Island,2022,223.7,Public administration
Quebec,2022,867,Accommodation and food services
Quebec,2022,562.8,"Administrative and support, waste management and remediation services"
Quebec,2022,893.7,"Arts, entertainment and recreation"
Quebec,2022,"4,385.60",Educational services
Quebec,2022,"3,792.40",Health care and social assistance
Quebec,2022,F,Other services (except public administration)
Quebec,2022,"7,927.60",Public administration
Saskatchewan,2022,x,Accommodation and food services
Saskatchewan,2022,F,"Administrative and support, waste management and remediation services"
Saskatchewan,2022,122.2,"Arts, entertainment and recreation"
Saskatchewan,2022,289.1,Educational services
Saskatchewan,2022,255.7,Health care and social assistance
Saskatchewan,2022,42.1,Other services (except public administration)
Saskatchewan,2022,"1,165.90",Public administration
Yukon,2022,4.6,Accommodation and food services
Yukon,2022,3,"Administrative and support, waste management and remediation services"
Yukon,2022,x,"Arts, entertainment and recreation"
Yukon,2022,x,Educational services
Yukon,2022,x,Health care and social assistance
Yukon,2022,1.1,Other services (except public administration)
Yukon,2022,399.3,Public administration
Alberta,2023,379.8,Accommodation and food services
Alberta,2023,802.9,"Arts, entertainment and recreation"
Alberta,2023,"1,301.30",Educational services
Alberta,2023,"1,396.10",Health care and social assistance
Alberta,2023,x,Other services (except public administration)
Alberta,2023,"4,815.30",Public administration
British Columbia,2023,581.2,Accommodation and food services
British Columbia,2023,523.3,"Arts, entertainment and recreation"
British Columbia,2023,"2,143.60",Educational services
British Columbia,2023,"3,540.00",Health care and social assistance
British Columbia,2023,F,Other services (except public administration)
British Columbia,2023,"5,972.70",Public administration
Manitoba,2023,82.1,Accommodation and food services
Manitoba,2023,115.3,"Arts, entertainment and recreation"
Manitoba,2023,431.9,Educational services
Manitoba,2023,665.7,Health care and social assistance
Manitoba,2023,x,Other services (except public administration)
Manitoba,2023,"1,321.20",Public administration
New Brunswick,2023,37.7,Accommodation and food services
New Brunswick,2023,59.9,"Administrative and support, waste management and remediation services"
New Brunswick,2023,84.9,"Arts, entertainment and recreation"
New Brunswick,2023,171.2,Educational services
New Brunswick,2023,248.7,Health care and social assistance
New Brunswick,2023,x,Other services (except public administration)
New Brunswick,2023,"1,127.80",Public administration
Newfoundland and Labrador,2023,51.6,Accommodation and food services
Newfoundland and Labrador,2023,F,"Administrative and support, waste management and remediation services"
Newfoundland and Labrador,2023,43.2,"Arts, entertainment and recreation"
Newfoundland and Labrador,2023,53.6,Educational services
Newfoundland and Labrador,2023,568.5,Health care and social assistance
Newfoundland and Labrador,2023,x,Other services (except public administration)
Newfoundland and Labrador,2023,532.6,Public administration
Northwest Territories,2023,x,Accommodation and food services
Northwest Territories,2023,x,"Administrative and support, waste management and remediation services"
Northwest Territories,2023,x,"Arts, entertainment and recreation"
Northwest Territories,2023,x,Educational services
Northwest Territories,2023,x,Health care and social assistance
Northwest Territories,2023,x,Other services (except public administration)
Northwest Territories,2023,449.9,Public administration
Nova Scotia,2023,53.4,Accommodation and food services
Nova Scotia,2023,212.2,"Administrative and support, waste management and remediation services"
Nova Scotia,2023,82.9,"Arts, entertainment and recreation"
Nova Scotia,2023,385.2,Educational services
Nova Scotia,2023,389.8,Health care and social assistance
Nova Scotia,2023,x,Other services (except public administration)
Nova Scotia,2023,"1,386.20",Public administration
Nunavut,2023,x,Accommodation and food services
Nunavut,2023,x,"Administrative and support, waste management and remediation services"
Nunavut,2023,x,"Arts, entertainment and recreation"
Nunavut,2023,x,Educational services
Nunavut,2023,x,Health care and social assistance
Nunavut,2023,x,Other services (except public administration)
Nunavut,2023,306.5,Public administration
Ontario,2023,1251.5,Accommodation and food services
Ontario,2023,825.29999999999995,"Administrative and support, waste management and remediation services"
Ontario,2023,1630,"Arts, entertainment and recreation"
Ontario,2023,4780.6000000000004,Educational services
Ontario,2023,4366.1999999999998,Health care and social assistance
Ontario,2023,,Other services (except public administration)
Ontario,2023,13405,Public administration
Prince Edward Island,2023,13.7,Accommodation and food services
Prince Edward Island,2023,6,"Administrative and support, waste management and remediation services"
Prince Edward Island,2023,60.3,"Arts, entertainment and recreation"
Prince Edward Island,2023,101.8,Educational services
Prince Edward Island,2023,36,Health care and social assistance
Prince Edward Island,2023,x,Other services (except public administration)
Prince Edward Island,2023,307.1,Public administration
Quebec,2023,641.5,Accommodation and food services
Quebec,2023,589,"Administrative and support, waste management and remediation services"
Quebec,2023,747.29999999999995,"Arts, entertainment and recreation"
Quebec,2023,5215.1999999999998,Educational services
Quebec,2023,4604.6000000000004,Health care and social assistance
Quebec,2023,,Other services (except public administration)
Quebec,2023,9176.2999999999993,Public administration
Saskatchewan,2023,75.4,Accommodation and food services
Saskatchewan,2023,77.6,"Administrative and support, waste management and remediation services"
Saskatchewan,2023,x,"Arts, entertainment and recreation"
Saskatchewan,2023,338.7,Educational services
Saskatchewan,2023,399.1,Health care and social assistance
Saskatchewan,2023,69.1,Other services (except public administration)
Saskatchewan,2023,"1,241.70",Public administration
Yukon,2023,12.4,Accommodation and food services
Yukon,2023,x,"Administrative and support, waste management and remediation services"
Yukon,2023,x,"Arts, entertainment and recreation"
Yukon,2023,x,Educational services
Yukon,2023,x,Health care and social assistance
Yukon,2023,x,Other services (except public administration)
Yukon,2023,479.1,Public administration
Alberta,2024,563.70000000000005,Accommodation and food services
Alberta,2024,793.70000000000005,"Arts, entertainment and recreation"
Alberta,2024,1560.4000000000001,Educational services
Alberta,2024,1231.5,Health care and social assistance
Alberta,2024,,Other services (except public administration)
Alberta,2024,5658.3000000000002,Public administration
British Columbia,2024,519.79999999999995,Accommodation and food services
British Columbia,2024,775,"Arts, entertainment and recreation"
British Columbia,2024,2639.4000000000001,Educational services
British Columbia,2024,3967.5,Health care and social assistance
British Columbia,2024,333,Other services (except public administration)
British Columbia,2024,7524.1000000000004,Public administration
Manitoba,2024,109.2,Accommodation and food services
Manitoba,2024,169.6,"Arts, entertainment and recreation"
Manitoba,2024,486.6,Educational services
